year,month,maxtemp,sunshine,daysrain
1953,January,5.7,37.1,9.1
1953,February,6.7,61.7,10.4
1953,March,9.7,130.8,5.4
1953,April,10.3,162.4,13.8
1953,May,15.7,195,10.5
1953,June,17.1,149.3,11.3
1953,July,17.9,156.2,18.9
1953,August,18.9,170.4,13.9
1953,September,16.6,124,13.1
1953,October,12.7,82.4,11
1953,November,10.1,44,13.9
1953,December,8.5,32.7,12
1954,January,5,46.8,12.4
1954,February,4.6,56.7,15.7
1954,March,8,101.1,13.1
1954,April,11.2,179.8,5.8
1954,May,14.3,150,12.6
1954,June,15.9,138.4,13.3
1954,July,16.4,120,15.5
1954,August,16.8,114.3,17.5
1954,September,15.1,139,19.5
1954,October,13.5,74.7,19
1954,November,9,50.8,19.5
1954,December,8.1,36.1,16.7
1955,January,4.3,36.6,13.6
1955,February,3.2,78.8,13.6
1955,March,6.3,138.5,8.5
1955,April,12.6,165.1,9.4
1955,May,12.7,201.8,16.3
1955,June,16.5,158,11.1
1955,July,21.3,256.9,3.5
1955,August,21.2,181.1,6.4
1955,September,17.2,140.1,12.8
1955,October,12,101.4,12.6
1955,November,9.4,52.1,9.9
1955,December,7.4,38.1,18.7
1956,January,5.4,48.2,18
1956,February,3,67,9.4
1956,March,8.9,129.5,8.1
1956,April,10.2,163,9
1956,May,15.4,210.7,8.5
1956,June,15.9,160.8,13.4
1956,July,18,153.9,14.3
1956,August,15.9,136.6,20.2
1956,September,16.4,91.3,13
1956,October,12.1,99.6,12.3
1956,November,8.4,49.9,10
1956,December,7.6,19.5,17.9
1957,January,7.4,44.8,16.4
1957,February,7,77.9,15.5
1957,March,11.1,80.8,15.1
1957,April,11.9,159.9,6.1
1957,May,13.9,197,10.1
1957,June,19,265.1,9.7
1957,July,18.4,123.5,16.1
1957,August,17.7,130.3,15.4
1957,September,14.6,106.5,16.6
1957,October,13.1,73.6,13.7
1957,November,8.3,52.4,9.3
1957,December,6.7,46.2,14.6
1958,January,5.5,45.9,15.8
1958,February,6.6,51.6,16.2
1958,March,5.8,103.7,10.5
1958,April,10.4,140,8.5
1958,May,13.8,177.7,15
1958,June,16.4,132.1,15
1958,July,18.4,163.7,14.9
1958,August,18.1,118.3,17.6
1958,September,17.5,118.2,13.5
1958,October,13,86.3,14
1958,November,8.8,44.7,8.8
1958,December,6.4,30.5,17.1
1959,January,4,69.7,13.6
1959,February,6.9,61.9,5.1
1959,March,9.6,95,13.4
1959,April,11.9,136.8,15.4
1959,May,16.2,214.5,7
1959,June,18.2,210.6,11.3
1959,July,20.1,195.6,11.1
1959,August,20.2,177.8,7.1
1959,September,18.8,172.2,3.6
1959,October,15.4,119.6,12.8
1959,November,9.2,49.5,18.3
1959,December,7.5,28.1,22.8
